COURSE,YEAR,INTEGRANTES
Disciplina: Socioeconomia Solidária,2010,"['Laudemir Luiz Zart', 'Cóvis Vailant']"
Disciplina: Metodologia da Pesquisa II e III: Educação Ativa e Projetos de Trabalho,2010,"['Laudemir Luiz Zart', 'Judite Albuquerque']"
"Especialização e Aperfeiçoamento: Políticas Públicas, Participação e Controle Social do Estado",2010,"['Laudemir Luiz Zart', 'João Ivo Puhl', 'Josivaldo Constantino dos Santos', 'Cóvis Vailant', 'Jânio Celso Silva Veiga', 'Heloisa Salles Gentil', 'Loriége Pessoa Bitencourt', 'Aparecido de Assis', 'Judite Albuquerque', 'Dilma Lourença da Costa', 'MEDEIROS, Iraci Aguiar', 'Ilma Ferreira Machado', 'Jesus Vieira de Oliveira']"
Oficina: Política Integrada para a Infância,2012,"['Laudemir Luiz Zart', 'Edson Penha Mendes', 'Dinairan Dantas Souza', 'Taciane Neves Faustino Ferreira']"
Curso de Qualificação Profissional em Técnicas e de Gestão em Socioeconomia Solidária,2013,"['Laudemir Luiz Zart', 'Edson Penha Mendes', 'Taciane Neves Faustino Ferreira', 'Dinairan Dantas Souza']"
Prática de Organização Cooperativa e Economia Solidária,2013,['Laudemir Luiz Zart']
Socioeconomia Solidária: fundamentos sociológicos,2014,['Laudemir Luiz Zart']
Sociologia Econômica,2014,['Laudemir Luiz Zart']
"Fundamentos Epistemológicos da Pesquisa: positivismo, fenomenologia e dialética.",2014,['Laudemir Luiz Zart']
"Pesquisa-ação, Pesquisa Participante e Sistematização, Codificação de Dados Qualitativos",2014,['Laudemir Luiz Zart']
Produção Social do Conhecimento: métodos e técnicas de investigação ? ação,2014,"['Laudemir Luiz Zart', 'Loriége Pessoa Bitencourt', 'Vivian Lara Cáceres Dan', 'João Ivo Puhl', 'Clóvis Vailant', 'Jucilene de Oliveira Martins']"
"Socioeconomia Solidária: referenciais históricos, teóricos e práticas sociais.",2014,"['Laudemir Luiz Zart', 'Elias Bortoli', 'José Ricarte de Lima', 'Clóvis Vailant', 'Ilma Ferreira Machado', 'Heloisa Salles Gentil', 'Edson Penha Mendes', 'Fernando Ferreira de Morais', 'Dilma Lourença da Costa', 'SGUAREZI, Sandro Benedito', 'Eliel Regis de Lima', 'Edson Félix da Silva']"
Socioeconomia Solidária e Pescadores: formação para o trabalho associado.,2016,"['Laudemir Luiz Zart', 'Edson Caetano', 'Camila Emanuella Pereira Neves', 'Maria José Dantas Souza', 'Admilson Costa da Cunha', 'Lia Tiriba', 'Eliel Regis de Lima', 'Camila Percilyana de Lima e Silva Alves', 'Fernanda Santana de Souza', 'Jucilene de Oliveira Martins', 'Marcia Aparecida de Barros da Cruz', 'Marina Marques de Arruda', 'Luciano Paulo da Silva', 'Silvano Carmo de Souza']"
Gestão de Empreendimentos Econômicos Solidários: desenvolvimento com Grupo de Mulheres Vale do Sol.,2015,"['Laudemir Luiz Zart', 'Douglas Alexandre de Campos Castrillon Júnior', 'Thiago Wanderson Santana', 'EVELYN OLIVEIRA CARDOSO SANTOS', 'Janbor Alencar Borges']"
Incubação de Empreendimentos Econômicos Solidários: Território da Fronteira,2016,"['Laudemir Luiz Zart', 'ROSILÉIA APARECIDA COELHO', 'Janbor Alencar Borges', 'Jesus Vieira de Oliveira', 'Tânia Paula da Silva', 'Marcia Aparecida de Barros da Cruz', 'Jucilene de Oliveira Martins', 'Douglas Alexandre de Campos Castrillon Júnior', 'Fernando Ferreira de Morais', 'João Ivo Puhl', 'Eliane dos Santos Martinez Paezano', 'Clóvis Vailant', 'LIZANDRA OZEIA DE OLIVEIRA', 'Thiago Wanderson Santana']"
Incubação de Empreendimento Econômico Solidário: trabalho associado com grupo informal de agricultores/as no Assentamento Sapicuá,2016,"['Laudemir Luiz Zart', 'Eliane dos Santos Martinez Paezano', 'Marcia Aparecida de Barros da Cruz', 'Luan Benedito Oliveira da Silva', 'Talia Maria da Silva', 'Rafaela Graziele Castrillon', 'Ana Lúcia Faria Ortiz Lopes', 'Natanagilda Celina de Almeida Castrillon', 'Jucilene de Oliveira Martins', 'Douglas Alexandre de Campos Castrillon Júnior', 'Maria José Dantas Souza', 'LIZANDRA OZEIA DE OLIVEIRA', 'Janbor Alencar Borges', 'Willian Marques Duarte', 'Thiago Wanderson Santana', 'Evelin Mara Cáceres Dan']"
Seminário de Planejamento Participativo do CESSOL em Cáceres,2018,['Laudemir Luiz Zart']
Formação de Agentes de Economia Solidária para a compreensão do Método de Planejamento Participativo,2018,['Laudemir Luiz Zart']
Desenvolvimento Territorial e Pedagogia da Cooperação,2017,['Laudemir Luiz Zart']
II Workshop de Articulação Institucional e Planejamento do Programa Cáceres RECICLA,2017,['Laudemir Luiz Zart']
Dinâmica Grupal 4 - Avaliação e Encerramento do Seminário: Formação de Agentes de Economia Solidária para compreensão do Método de Planejamento Participativo,2017,['Laudemir Luiz Zart']
Economia Solidária: gestão e práticas administrativas de Empreendimento econômico solidário de reciclagem,2017,['Laudemir Luiz Zart']
Economia Solidária e reciclagem: formação dos catadores (as) de Cáceres,2017,['Laudemir Luiz Zart']
IV ENCAESES - Encontro Cacerense de Economia Solidária e I Workshop de Constituição e Consolidação de Grupos de Pesquisa do Núcleo UNEMAT-UNITRABALHO,2014,['Laudemir Luiz Zart']
"Curso de Qualificação: Educação, Política de Lideranças de Lutas Coletivas e Conselheiros/as em Políticas Públicas e Direitos Humanos",2013,['Laudemir Luiz Zart']
III Curso de Atualização: Educação do Campo e Socioeconomia Solidária,2012,['Laudemir Luiz Zart']
Curso de Atualização: Educação do Campo e Socioeconomia Solidária,2012,['Laudemir Luiz Zart']
II Ciclo de Debates: Políticas Públicas e Desenvolvimento da Educação do Campo,2012,['Laudemir Luiz Zart']
Oficina de Economia Solidária,2018,['Laudemir Luiz Zart']
Oficina Identidade da Economia Solidária,2018,['Laudemir Luiz Zart']
Oficina Avaliação Participativa,2018,['Laudemir Luiz Zart']
Curso: Organização e Comercialização Solidária: Formação de Agentes da Economia Solidária da FEISOL-Trindade,2018,['Laudemir Luiz Zart']
Incubação de Empreendimentos Econômicos Solidários: território do Facão,2016,"['Laudemir Luiz Zart', 'Aparecido de Assis', 'Devanir Oliveira de Araújo', 'Edson Arruda dos Santos', 'Maria José Dantas Souza', 'Camila Percilyana de Lima e Silva', 'Eliane dos Santos Martinez Paezano', 'Luan Felipe Bitencourt Zart', 'Jucilene de Oliveira Martins', 'MARIA VANISE BARBOSA', 'Hemily Lohainy de Souza Correia', 'EVELYN OLIVEIRA CARDOSO SANTOS', 'Douglas Alexandre de Campos Castrillon Júnior', 'LIZANDRA OZEIA DE OLIVEIRA']"
